Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
7,1596,4,6651,162075,43200,8,150,0,0,8
8,1236,1,1243,965320,1212,1,8.38,0,0,1
3,1310,1,1162,212234,1216,6,50.28,0,0,6
3,1963,1,1202,613355,35651,5,37.5,0,0,5
7,2030,1,1273,2233217,41938,2,19.82,0,0,2
3,1123,1,1462,893720,1232,1,18.24,0,0,1
7,1378,1,1051,55784,1145,26,596.96,0,0,26
9,3215,1,2136,577263,30552,3,16.14,0,0,3
8,1613,1,1023,2451544,1109,5,75.05,0,0,5
5,2211,1,1222,1158185,1230,1,16.67,0,0,1
7,1633,1,1007,108378,1150,2,27.92,0,0,2
8,2054,1,4511,3966502,1109,1,15.01,0,0,1
8,3217,1,1008,2264746,1125,4,38.4,0,0,4
8,1310,4,6612,19800,5337,1,9.27,0,0,1
9,1116,1,4433,664344,43285,6,31.68,0,0,6
3,1632,1,1221,263694,1250,3,22.92,0,0,3
6,2230,1,2906,142546,31309,40,250,0,0,40
8,1238,1,1104,104744,1278,12,54,0,0,12
9,1232,1,2103,474503,35305,1,6.25,0,0,1
3,1970,4,6603,2411641,46139,6,122.16,0,0,6
6,1118,1,1409,1507470,1220,5,38.2,0,0,5
4,1232,1,1106,199455,1250,9,68.76,0,0,9
5,1122,1,1080,4428678,1109,2,30.02,0,0,2
6,1461,1,1001,1864213,43006,1,16.35,0,0,1
5,1315,1,1262,1721896,42110,6,57.6,0,0,6
3,1118,1,1002,439106,2665,7,112,0,0,7
3,1617,1,1216,4253306,1212,2,16.76,0,0,2
6,1117,1,1278,4349762,1129,1,17.6,0,0,1
8,1346,1,2815,2055534,30549,3,16.14,0,0,3
8,1259,6,3231,4579431,47611,58,994.7,0,0,58
8,1963,1,1101,617288,33370,7,33.6,0,0,7
6,1332,1,2151,946598,37273,10,38.4,0,0,10
3,1111,1,1633,74459,9217,3,27,0,0,3
3,1310,1,1077,1161503,3631,4,65.4,0,0,4
4,1542,1,2152,1547771,30574,3,18.75,0,0,3
7,1332,1,2152,1086157,30569,3,21.12,0,0,3
3,1245,1,1118,304157,1240,2,16.76,0,0,2
5,1127,1,1414,428040,972,1,18.98,0,0,1
8,1914,1,2153,68801,36324,3,28.05,0,0,3
3,1120,1,1477,176566,1250,26,198.64,0,0,26
7,1215,1,1424,4519579,48417,7,32.06,0,0,7
9,2016,4,6605,2116606,43058,12,104.64,0,0,12
3,2034,1,1233,1108318,1242,3,22.92,0,0,3
8,1127,1,4451,1259043,43069,5,37.05,0,0,5
4,1124,1,1479,2387968,34768,1,22.5,0,0,1
3,1314,7,3303,4369948,34053,8,36,0,0,8
7,1123,1,1461,339678,1278,44,198,0,0,44
5,2264,1,2802,4533281,3894,6,56.1,0,0,6
5,1335,1,2157,1837157,43058,2,18.7,0,0,2
3,1612,1,1253,4360144,1278,13,58.5,0,0,13
7,1137,1,1480,2146900,1212,2,16.76,0,0,2
6,1478,4,4703,4258817,43069,6,50.52,0,0,6
4,22090,1,1601,26174,31298,6,53.34,0,0,6
9,1217,1,1132,52186,1212,6,50.28,0,0,6
8,1123,1,4414,4162721,36610,40,30.8,0,0,40
3,1954,1,1291,568589,1242,6,45.84,0,0,6
9,23669,1,1112,2051973,48417,18,82.44,0,0,18
9,1960,11,3904,2244003,34053,8,36,0,0,8
6,4017,4,4905,1073116,34054,20,102.4,0,0,20
8,2015,1,1012,4305753,1160,7,132.02,0,0,7
9,1337,1,2118,929910,35309,9,56.25,0,0,9
3,1340,1,1261,252049,1064,1,16.67,0,0,1
8,2044,1,4413,1598296,30813,6,26.64,2,8.88,4
